34017,26224,27574,20130
34038,26705,27844,20256
34020,27189,28150,20438
34351,27669,28480,20671
34853,28137,28822,20936
35195,28583,29175,21230
35603,29010,29532,21542
36148,29425,29894,21861
36578,29812,30251,22201
36976,30192,30610,22538
37377,30544,30957,22872
37805,30864,31285,23201
38352,31181,31615,23527
38709,31512,31963,23845
39219,31793,32275,24127
39484,32069,32534,24427
39728,32328,32821,24745
40117,32531,33142,24997
40316,32764,33419,25299
40505,33032,33682,25525
40801,33245,33888,25810
41247,33398,34183,26052
41292,33594,34363,26282
41480,33782,34651,26503
41672,34013,34812,26721
41899,34188,35016,26870
42170,34357,35213,27112
42379,34447,35413,27245
42474,34657,35600,27471
42686,34735,35777,27580
42801,34865,35952,27730
43050,35071,36119,27880
43061,35199,36275,28021
43269,35240,36525,28222
43447,35432,36577,28277
43550,35552,36815,28398
43688,35560,36858,28512
43803,35655,36986,28625
43756,35851,37221,28812
43929,35837,37343,28912
44243,35923,37463,29010
44567,36118,37457,29100
44452,36083,37566,29093
44730,36155,37665,29187
44638,36354,37774,29365
44711,36428,37870,29341
44748,36364,38099,29527
44652,36422,38061,29488
44702,36622,38135,29550
44947,36531,38232,29616
45085,36582,38462,29676
45020,36780,38385,29728
45350,36672,38460,29914
45240,36710,38698,29840
45266,36923,38773,30026
45215,36966,38669,30078
45511,37005,38910,30125
45622,36869,38972,30167
45755,37075,39040,30072
45749,36934,38899,30111
